img,output,flag,username,timestamp
C:\Users\sonis\OneDrive\Documents\cropaiapp\flagged\img\03286f5d9c561cf80226fe5aac2ca7700edbcb1d\tmp32uwh8c8.jpg,C:\Users\sonis\OneDrive\Documents\cropaiapp\flagged\output\tmpuzn1sl35.json,,,2023-08-12 21:05:57.424572
C:\Users\sonis\OneDrive\Documents\cropaiapp\flagged\img\4554fc0380546ecb5ce420faa5e83a9f56f088ea\tmp78jmkgh6.jpg,C:\Users\sonis\OneDrive\Documents\cropaiapp\flagged\output\tmpi420wrhx.json,,,2023-08-12 21:09:41.095317
